accel,temperature,humidity,sound,machine
1.084,48.600,22.000,45.000,1
1.071,48.900,21.000,43.000,1
1.069,49.100,19.000,43.000,1
1.088,49.200,18.000,46.000,1
1.053,49.300,17.000,39.000,1
1.073,49.300,17.000,43.000,1
1.047,49.300,17.000,45.000,1
1.065,49.300,17.000,43.000,1
1.034,49.300,17.000,32.000,1
1.063,49.300,18.000,39.000,1
1.074,49.300,18.000,39.000,1
1.060,49.300,19.000,44.000,1
1.085,49.300,19.000,43.000,1
1.081,49.300,19.000,43.000,1
1.092,49.300,19.000,40.000,1
1.050,49.400,18.000,45.000,1
1.068,49.500,17.000,43.000,1
1.052,49.600,17.000,46.000,1
1.015,49.700,16.000,46.000,1
1.051,49.800,16.000,39.000,1
1.040,49.800,15.000,43.000,1
1.061,49.800,16.000,43.000,1
1.041,49.800,15.000,39.000,1
1.047,49.900,16.000,39.000,1
1.061,49.800,15.000,44.000,1
1.021,49.800,15.000,32.000,1
1.046,49.800,15.000,32.000,1
1.034,49.700,15.000,45.000,1
1.061,49.700,15.000,39.000,1
1.074,49.600,15.000,45.000,1
1.080,49.600,16.000,43.000,1
1.093,49.600,17.000,43.000,1
1.089,49.600,18.000,43.000,1
1.058,49.600,18.000,43.000,1
1.061,49.600,18.000,44.000,1
1.093,49.600,18.000,45.000,1
1.078,49.600,18.000,46.000,1
1.036,49.600,18.000,31.000,1
1.054,49.500,18.000,34.000,1
1.036,49.500,18.000,45.000,1
1.090,49.500,18.000,39.000,1
1.039,49.500,18.000,43.000,1
1.080,49.600,18.000,43.000,1
1.072,49.600,16.000,39.000,1
1.093,49.600,16.000,39.000,1
1.099,49.600,15.000,39.000,1
1.078,49.600,15.000,43.000,1
1.071,49.500,15.000,31.000,1
1.059,49.400,15.000,43.000,1
1.080,49.300,15.000,39.000,1
1.062,49.200,15.000,43.000,1
1.061,49.200,15.000,43.000,1
1.046,49.100,15.000,43.000,1
1.099,49.000,15.000,45.000,1
1.051,48.900,15.000,39.000,1
1.087,48.800,16.000,43.000,1
1.075,48.800,16.000,45.000,1
1.056,48.700,17.000,43.000,1
1.089,48.600,18.000,39.000,1
1.021,48.500,17.000,43.000,1
1.042,48.400,18.000,45.000,1
1.048,48.300,17.000,33.000,1
1.030,48.200,17.000,39.000,1
1.076,48.100,18.000,44.000,1
1.089,48.000,19.000,39.000,1
1.063,47.900,20.000,45.000,1
1.090,47.900,22.000,46.000,1
1.037,47.900,23.000,45.000,1
1.076,47.900,23.000,44.000,1
1.068,48.000,22.000,45.000,1
1.066,48.000,21.000,45.000,1
1.059,48.100,20.000,44.000,1
1.068,48.100,19.000,45.000,1
1.064,48.100,19.000,43.000,1
1.046,48.100,19.000,45.000,1
1.051,48.000,18.000,39.000,1
1.056,47.900,19.000,32.000,1
1.039,47.900,19.000,43.000,1
1.059,47.800,21.000,45.000,1
1.049,47.800,21.000,43.000,1
1.072,47.800,22.000,43.000,1
1.060,47.800,22.000,37.000,1
1.026,47.800,22.000,44.000,1
1.107,47.900,21.000,43.000,1
1.060,47.900,20.000,43.000,1
1.063,47.800,20.000,39.000,1
1.073,47.800,20.000,43.000,1
1.082,47.800,20.000,43.000,1
1.093,47.700,19.000,43.000,1
1.071,47.700,20.000,45.000,1
1.079,47.700,21.000,43.000,1
1.044,47.700,22.000,32.000,1
1.076,47.700,21.000,39.000,1
1.053,47.800,22.000,40.000,1
1.093,47.900,24.000,44.000,1
1.035,48.000,23.000,45.000,1
1.052,48.100,23.000,31.000,1
1.070,48.200,22.000,39.000,1
1.068,48.300,22.000,39.000,1
1.089,48.400,23.000,31.000,1
1.041,48.500,24.000,45.000,1
1.074,48.600,24.000,42.000,1
1.066,48.700,25.000,44.000,1
1.080,48.800,26.000,43.000,1
1.071,49.000,25.000,46.000,1
1.049,49.100,24.000,44.000,1
1.083,49.200,23.000,43.000,1
1.083,49.300,23.000,43.000,1
1.072,49.400,23.000,43.000,1
1.094,49.500,22.000,31.000,1
1.077,49.700,22.000,46.000,1
1.071,49.800,20.000,44.000,1
1.054,50.000,19.000,43.000,1
1.072,50.100,17.000,39.000,1
1.042,50.100,16.000,43.000,1
1.086,50.200,16.000,31.000,1
1.056,50.200,16.000,39.000,1
1.066,50.100,16.000,39.000,1
1.038,50.100,16.000,39.000,1
1.053,50.000,16.000,45.000,1
1.061,50.000,17.000,45.000,1
1.049,50.000,17.000,40.000,1
1.084,50.000,17.000,39.000,1
1.044,50.000,17.000,32.000,1
1.077,50.000,16.000,45.000,1
1.090,50.000,17.000,45.000,1
1.045,50.000,16.000,43.000,1
1.067,50.000,16.000,45.000,1
1.071,49.900,16.000,39.000,1
1.089,49.800,15.000,39.000,1
1.089,49.800,15.000,33.000,1
1.068,49.700,15.000,44.000,1
1.038,49.600,16.000,40.000,1
1.040,49.600,17.000,45.000,1
1.070,49.500,17.000,44.000,1
1.046,49.500,17.000,45.000,1
1.073,49.500,17.000,43.000,1
1.072,49.500,17.000,43.000,1
1.093,49.500,17.000,46.000,1
1.034,49.600,16.000,43.000,1
1.085,49.600,16.000,45.000,1
1.051,49.600,17.000,45.000,1
1.080,49.600,17.000,39.000,1
1.052,49.700,16.000,36.000,1
1.076,49.800,17.000,39.000,1
1.068,49.800,16.000,43.000,1
1.085,49.900,16.000,36.000,1
1.051,49.900,15.000,44.000,1
1.050,49.900,15.000,39.000,1
1.065,49.900,15.000,43.000,1
1.068,49.800,15.000,45.000,1
1.083,49.800,16.000,31.000,1
1.058,49.700,17.000,33.000,1
1.088,49.700,17.000,43.000,1
1.095,49.700,17.000,43.000,1
1.055,49.600,17.000,43.000,1
1.092,49.600,17.000,44.000,1
1.025,49.500,17.000,39.000,1
1.079,49.500,16.000,44.000,1
1.049,49.400,17.000,43.000,1
1.076,49.400,18.000,43.000,1
1.074,49.400,18.000,43.000,1
1.097,49.400,18.000,43.000,1
1.059,49.400,17.000,39.000,1
1.092,49.400,17.000,33.000,1
1.085,49.400,17.000,39.000,1
1.042,49.400,17.000,45.000,1
1.083,49.400,17.000,43.000,1
1.054,49.500,16.000,39.000,1
1.085,49.500,17.000,39.000,1
1.049,49.500,16.000,43.000,1
1.049,49.500,15.000,43.000,1
1.073,49.500,15.000,46.000,1
1.051,49.400,16.000,33.000,1
1.087,49.400,17.000,43.000,1
1.082,49.300,17.000,44.000,1
1.066,49.200,17.000,45.000,1
1.077,49.100,17.000,41.000,1
1.042,49.100,16.000,43.000,1
1.105,49.000,16.000,44.000,1
1.085,49.000,16.000,39.000,1
1.038,48.900,16.000,43.000,1
1.087,48.900,15.000,45.000,1
1.048,48.800,16.000,43.000,1
1.053,48.800,16.000,45.000,1
1.088,48.700,15.000,36.000,1
1.041,48.600,15.000,33.000,1
1.089,48.600,15.000,44.000,1
1.050,48.400,16.000,43.000,1
1.063,48.400,16.000,43.000,1
1.097,48.200,16.000,45.000,1
1.054,48.000,16.000,33.000,1
1.067,47.900,17.000,39.000,1
1.045,47.700,17.000,45.000,1
1.093,47.600,17.000,43.000,1
1.079,47.600,18.000,43.000,1
1.054,47.500,18.000,46.000,1
1.064,47.500,19.000,31.000,1
1.079,47.400,20.000,43.000,1
1.064,47.400,20.000,31.000,1
1.070,47.300,21.000,43.000,1
1.057,47.300,22.000,39.000,1
1.050,47.300,22.000,31.000,1
1.080,47.300,22.000,43.000,1
1.064,47.300,21.000,46.000,1
1.046,47.300,22.000,43.000,1
1.098,47.200,22.000,43.000,1
1.077,47.200,21.000,43.000,1
1.045,47.200,21.000,46.000,1
1.070,47.200,21.000,43.000,1
1.062,47.100,21.000,46.000,1
1.065,47.100,20.000,43.000,1
1.065,47.100,20.000,43.000,1
1.078,47.100,21.000,31.000,1
1.054,47.100,21.000,43.000,1
1.079,47.100,22.000,43.000,1
1.041,47.100,22.000,43.000,1
1.095,47.100,23.000,43.000,1
1.061,47.200,24.000,45.000,1
1.066,47.300,24.000,39.000,1
1.061,47.400,24.000,45.000,1
1.097,47.500,24.000,43.000,1
1.067,47.700,24.000,44.000,1
1.064,47.800,24.000,43.000,1
1.074,47.900,24.000,40.000,1
1.049,48.000,23.000,39.000,1
1.054,48.000,23.000,39.000,1
1.081,48.100,23.000,46.000,1
1.096,48.300,23.000,45.000,1
1.062,48.400,23.000,43.000,1
1.034,48.600,22.000,39.000,1
1.067,48.700,22.000,43.000,1
1.086,48.800,22.000,43.000,1
1.049,49.000,22.000,43.000,1
1.078,49.100,21.000,45.000,1
1.062,49.300,21.000,39.000,1
1.070,49.500,21.000,43.000,1
1.094,49.600,21.000,39.000,1
1.051,49.700,21.000,39.000,1
1.076,49.800,20.000,45.000,1
1.050,49.800,19.000,43.000,1
1.054,49.900,18.000,44.000,1
1.082,49.900,17.000,40.000,1
1.076,49.900,17.000,43.000,1
1.052,50.000,17.000,43.000,1
1.069,50.000,17.000,44.000,1
1.055,50.100,17.000,39.000,1
1.088,50.100,17.000,33.000,1
1.085,50.200,17.000,40.000,1
1.052,50.200,17.000,44.000,1
1.081,50.200,16.000,31.000,1
1.066,50.300,16.000,43.000,1
1.067,50.300,17.000,45.000,1
1.065,50.300,17.000,46.000,1
1.048,50.400,17.000,43.000,1
1.091,50.500,16.000,43.000,1
1.098,50.600,15.000,32.000,1
1.053,50.600,15.000,46.000,1
1.072,50.700,14.000,43.000,1
1.098,50.700,13.000,45.000,1
1.053,50.800,12.000,43.000,1
1.041,50.800,12.000,45.000,1
1.075,50.800,12.000,43.000,1
1.054,50.800,12.000,39.000,1
1.071,50.800,12.000,39.000,1
1.071,50.700,12.000,43.000,1
1.050,50.600,12.000,33.000,1
1.081,50.400,12.000,45.000,1
1.055,50.300,12.000,31.000,1
1.082,50.100,13.000,31.000,1
1.063,50.000,13.000,44.000,1
1.065,49.800,13.000,45.000,1
1.073,49.700,13.000,43.000,1
1.019,49.600,13.000,43.000,1
1.044,49.600,13.000,39.000,1
1.081,49.500,13.000,43.000,1
1.071,49.500,13.000,39.000,1
1.064,49.500,13.000,43.000,1
1.099,49.500,14.000,38.000,1
1.041,49.500,15.000,43.000,1
1.052,49.500,16.000,46.000,1
1.075,49.400,16.000,45.000,1
1.052,49.400,17.000,44.000,1
1.099,49.400,17.000,39.000,1
1.050,49.400,17.000,43.000,1
1.088,49.500,17.000,39.000,1
1.051,49.500,16.000,43.000,1
1.066,49.500,17.000,43.000,1
1.048,49.500,17.000,39.000,1
1.086,49.500,17.000,43.000,1
1.058,49.500,16.000,43.000,1
1.057,49.400,15.000,43.000,1
1.095,49.400,15.000,44.000,1
1.056,49.300,15.000,43.000,1
1.055,49.300,15.000,39.000,1
1.097,49.200,14.000,44.000,1
1.053,49.200,15.000,43.000,1
1.087,49.100,16.000,43.000,1
1.036,49.000,18.000,39.000,1
1.092,49.000,18.000,33.000,1
1.086,49.100,20.000,39.000,1
1.072,49.200,20.000,45.000,1
1.083,49.400,20.000,31.000,1
1.054,49.600,20.000,45.000,1
1.078,49.700,20.000,43.000,1
1.085,49.900,20.000,43.000,1
1.081,50.000,19.000,46.000,1
1.073,50.100,18.000,45.000,1
1.048,50.200,18.000,31.000,1
1.052,50.400,17.000,40.000,1
1.050,50.500,17.000,43.000,1
1.083,50.600,17.000,46.000,1
1.086,50.600,17.000,45.000,1
1.049,50.700,17.000,31.000,1
1.077,50.700,16.000,43.000,1
1.033,50.800,16.000,45.000,1
1.062,50.800,15.000,33.000,1
1.086,50.700,15.000,43.000,1
1.075,50.600,13.000,43.000,1
1.049,50.400,13.000,45.000,1
1.090,50.200,14.000,40.000,1
1.053,50.000,13.000,43.000,1
1.043,49.900,13.000,45.000,1
1.058,49.700,13.000,39.000,1
1.051,49.600,13.000,40.000,1
1.092,49.400,13.000,43.000,1
1.052,49.200,12.000,46.000,1
1.076,49.000,13.000,39.000,1
1.055,48.800,14.000,44.000,1
1.049,48.600,14.000,43.000,1
1.080,48.300,15.000,39.000,1
1.090,48.100,16.000,45.000,1
1.046,48.000,16.000,44.000,1
1.057,47.900,17.000,44.000,1
1.071,47.700,18.000,45.000,1
1.051,47.600,18.000,39.000,1
1.081,47.500,19.000,43.000,1
1.091,47.500,20.000,40.000,1
1.061,47.400,21.000,46.000,1
1.068,47.400,22.000,45.000,1
1.084,47.400,22.000,44.000,1
1.059,47.400,22.000,39.000,1
1.056,47.400,22.000,43.000,1
1.046,47.500,22.000,39.000,1
1.042,47.500,22.000,43.000,1
1.076,47.600,23.000,46.000,1
1.055,47.600,24.000,43.000,1
1.043,47.700,24.000,43.000,1
1.051,47.800,25.000,31.000,1
1.077,47.800,25.000,43.000,1
1.081,47.900,25.000,31.000,1
1.055,48.000,24.000,43.000,1
1.090,48.100,23.000,43.000,1
1.068,48.200,23.000,44.000,1
1.084,48.300,22.000,43.000,1
1.088,48.400,21.000,43.000,1
1.065,48.500,21.000,31.000,1
1.047,48.600,21.000,39.000,1
1.056,48.600,21.000,39.000,1
1.045,48.700,22.000,45.000,1
1.061,48.700,22.000,46.000,1
1.049,48.700,22.000,43.000,1
1.076,48.800,22.000,45.000,1
1.074,48.900,21.000,39.000,1
1.061,48.900,21.000,45.000,1
1.069,49.000,20.000,39.000,1
1.052,49.000,20.000,39.000,1
1.080,49.100,19.000,39.000,1
1.080,49.200,19.000,43.000,1
1.055,49.300,18.000,43.000,1
1.051,49.400,17.000,41.000,1
1.045,49.400,17.000,36.000,1
1.061,49.500,18.000,41.000,1
1.071,49.500,18.000,43.000,1
1.080,49.500,17.000,39.000,1
1.044,49.500,17.000,46.000,1
1.041,49.500,18.000,43.000,1
1.052,49.600,18.000,43.000,1
1.080,49.600,17.000,38.000,1
1.069,49.600,16.000,45.000,1
1.074,49.600,16.000,43.000,1
1.054,49.700,17.000,43.000,1
1.057,49.700,16.000,33.000,1
1.000,49.500,14.000,31.000,0
1.001,49.300,15.000,43.000,0
1.000,47.900,16.000,45.000,0
1.001,46.300,20.000,43.000,0
0.999,44.500,23.000,45.000,0
1.001,42.600,28.000,39.000,0
1.001,41.900,31.000,44.000,0
1.000,41.200,33.000,45.000,0
0.999,40.500,35.000,39.000,0
1.001,40.000,37.000,43.000,0
0.997,39.400,38.000,33.000,0
1.002,38.900,40.000,39.000,0
0.999,38.500,41.000,43.000,0
1.002,38.100,42.000,31.000,0
1.000,37.700,43.000,45.000,0
0.999,37.300,44.000,32.000,0
0.999,37.000,45.000,32.000,0
1.001,36.700,45.000,40.000,0
1.000,36.500,46.000,34.000,0
1.001,36.200,47.000,40.000,0
1.000,36.000,48.000,33.000,0
1.002,35.700,48.000,32.000,0
1.000,35.500,49.000,46.000,0
1.000,35.300,49.000,43.000,0
1.000,35.100,50.000,31.000,0
1.001,35.000,50.000,45.000,0
1.000,34.800,51.000,40.000,0
1.001,34.700,51.000,46.000,0
1.002,34.600,51.000,40.000,0
0.998,34.500,52.000,40.000,0
1.001,34.400,52.000,43.000,0
0.999,34.300,52.000,43.000,0
0.999,34.200,53.000,43.000,0
0.999,34.100,53.000,45.000,0
0.999,34.100,53.000,39.000,0
1.000,34.000,53.000,45.000,0
0.999,34.000,53.000,31.000,0
1.001,33.900,53.000,32.000,0
0.999,33.900,53.000,43.000,0
1.001,33.900,53.000,45.000,0
1.000,33.800,54.000,43.000,0
0.998,33.800,54.000,33.000,0
0.998,33.700,54.000,33.000,0
1.000,33.700,54.000,40.000,0
0.999,33.700,55.000,31.000,0
0.997,33.700,55.000,45.000,0
0.999,33.700,55.000,43.000,0
1.000,33.700,54.000,33.000,0
0.999,33.700,54.000,44.000,0
1.000,33.700,55.000,39.000,0
1.000,33.700,54.000,39.000,0
0.999,33.700,55.000,39.000,0
0.998,33.700,55.000,33.000,0
0.997,33.800,55.000,39.000,0
1.000,33.800,55.000,33.000,0
1.000,33.800,56.000,31.000,0
0.999,33.800,56.000,34.000,0
1.001,33.800,56.000,32.000,0
1.000,33.800,55.000,43.000,0
1.000,33.800,56.000,43.000,0
0.997,33.700,55.000,44.000,0
0.999,33.700,55.000,39.000,0
0.997,33.600,55.000,43.000,0
1.001,33.600,55.000,45.000,0
1.000,33.600,56.000,43.000,0
0.999,33.600,58.000,46.000,0
1.001,33.800,59.000,32.000,0
1.000,33.800,59.000,34.000,0
1.001,33.900,58.000,34.000,0
1.001,33.900,56.000,43.000,0
1.001,33.900,54.000,31.000,0
0.999,33.900,54.000,43.000,0
1.000,33.900,53.000,43.000,0
1.001,33.900,53.000,31.000,0
0.998,33.900,53.000,44.000,0
0.998,33.900,53.000,32.000,0
0.999,33.900,53.000,43.000,0
1.000,33.900,53.000,32.000,0
0.999,33.800,53.000,43.000,0
1.000,33.800,53.000,45.000,0
1.001,33.800,53.000,45.000,0
1.000,33.800,53.000,43.000,0
1.000,33.800,53.000,32.000,0
1.000,33.700,53.000,43.000,0
1.000,33.700,53.000,44.000,0
0.999,33.700,53.000,43.000,0
